"source","state_name","county_name","cases_count","report_date"
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dallam",4,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dawson",9,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Ector",2,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Gaines",107,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Lubbock",3,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Lynn",2,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Martin",3,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Terry",22,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Yoakum",7,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Harris",2,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Rockwall",1,2025-03-04
"https://web.archive.org/web/20250305184528/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Travis",1,2025-03-04
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dallam",5,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dawson",9,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Ector",2,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Gaines",137,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Lubbock",3,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Lynn",2,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Martin",3,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Terry",29,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Yoakum",8,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Harris",2,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Rockwall",1,2025-03-07
"https://web.archive.org/web/20250307221222/https://dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Travis",1,2025-03-07
"https://web.archive.org/web/20250311174159/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dallam",5,2025-03-11
"https://web.archive.org/web/20250311174159/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Dawson",10,2025-03-11
"https://web.archive.org/web/20250311174159/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025","Texas","Ector",2,2025-03-11
