"source","report_date","state_name","county_name","cases_count"
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Lamar",4
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Lubbock",4
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Lynn",2
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Martin",3
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Terry",36
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Yoakum",11
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Harris",2
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Rockwall",1
"https://web.archive.org/web/20250315131831/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-14,"Texas","Travis",1
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Cochran",7
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Dallam",6
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Dawson",11
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Ector",2
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Gaines",191
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Lamar",7
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Lubbock",5
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Lynn",2
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Martin",3
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Terry",36
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Yoakum",11
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Harris",3
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Rockwall",1
"https://web.archive.org/web/20250318164049/https://dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-18,"Texas","Travis",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Cochran",7
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Dallam",6
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Dawson",13
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Ector",2
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Gaines",211
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Garza",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Hale",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Hockley",1
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Lamar",7
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Lubbock",8
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Lynn",2
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Martin",3
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Terry",37
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Yoakum",12
"https://web.archive.org/web/20250321171636/https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025",2025-03-21,"Texas","Harris",3
